ID,BaseMean,log2FC,lfcSE,stat,pvalue,padj,ClusterID
6227,1054.02700594409,7.25241444928714,1.19094136367434,6.08964863468318,1.13158763914882e-9,1.39478654188418e-7,Lantipeptide(venezuelin)
0812,174.258050675227,4.49637188060561,0.741893698118255,6.0606686537576,1.35556828408808e-9,1.64048409070732e-7,"NA"
5130,2018.63109725711,4.37452494580249,0.723044533623668,6.05014593482751,1.44714681952372e-9,1.72003736263391e-7,T1PKS-T3PKS-NRPS
6215,1962.30091775579,3.83987792277613,0.636415302363563,6.03360401378679,1.60342700731585e-9,1.87235265977093e-7,Lantipeptide(venezuelin)
0516,269.375600350137,4.35048491924938,0.727275944709347,5.98189030023265,2.20562805008539e-9,2.53114832782213e-7,"NA"
6258,425.852799036993,8.5509766835506,1.430778618554,5.97644986629208,2.2805269141396e-9,2.57274358313782e-7,Lantipeptide(venezuelin)
6260,485.546013072492,8.73784997931996,1.47010769680968,5.94368017954207,2.78693100654679e-9,3.09163546326257e-7,Lantipeptide(venezuelin)
5515,662.983393444565,4.12134616180251,0.693746783122631,5.94070669885036,2.83795974158615e-9,3.0966327934422e-7,Lantipeptide/terpene
6230,610.114532468656,6.8096569168048,1.14951354610469,5.92394664671889,3.14305467020747e-9,3.37422127175822e-7,Lantipeptide(venezuelin)
0489,88.8997421972497,6.41516971916386,1.08491181150125,5.9130794329604,3.35770148714233e-9,3.54743826959037e-7,"NA"
6261,1018.78768143986,7.97407393531586,1.35154683880562,5.89996121951841,3.63587021718766e-9,3.78130502587516e-7,Lantipeptide(venezuelin)
6246,1441.67615520086,7.22314077106788,1.22577387514698,5.89271881014905,3.79892552136673e-9,3.89009973387953e-7,Lantipeptide(venezuelin)
6266,947.699176537751,8.49339043913545,1.44270404241158,5.88713290422209,3.92952714001259e-9,3.9628685824127e-7,Lantipeptide(venezuelin)
6245,1784.4694704111,7.53365937057673,1.29596742847164,5.81315487184837,6.13062937089818e-9,6.09036852129825e-7,Lantipeptide(venezuelin)
5666,440.968275584456,4.13129767888924,0.715252692969444,5.775997377567,7.64985648339349e-9,7.48785952256868e-7,"NA"
6248,750.488680864565,7.6556450356936,1.32689197239171,5.76960686701147,7.9456677036058e-9,7.66469046886959e-7,Lantipeptide(venezuelin)
1908,1083.49009968794,3.81095024885697,0.663719761175744,5.74180621367378,9.36719835145507e-9,8.9068674610407e-7,"NA"
