geneid,Log2FC,Lsr2_bound,ClusterID
6237,9.405141463,Not Bound,NRPS-ladderane
6238,9.647458426,Not Bound,NRPS-ladderane
6239,9.324180547,Not Bound,NRPS-ladderane
6240,9.804131021,Not Bound,NRPS-ladderane
6241,9.573647187,Not Bound,NRPS-ladderane
6242,9.417852515,Not Bound,NRPS-ladderane
6243,9.157346935,Not Bound,NRPS-ladderane
6244,9.262094845,Not Bound,NRPS-ladderane
6245,9.005624549,Not Bound,NRPS-ladderane
6246,NA,Not Bound,NRPS-ladderane
6247,6.846883286,Bound,NRPS-ladderane
6248,NA,Not Bound,NRPS-ladderane
6249,8.116343961,Not Bound,NRPS-ladderane
6250,8.665335917,Not Bound,NRPS-ladderane
6251,8.45532722,Not Bound,NRPS-ladderane
6252,NA,Not Bound,NRPS-ladderane
6253,NA,Not Bound,NRPS-ladderane
6255,7.844444241,Not Bound,NRPS-ladderane
6256,9.73978061,Not Bound,NRPS-ladderane
6257,9.46760555,Not Bound,NRPS-ladderane
6258,9.118941073,Not Bound,NRPS-ladderane
6259,NA,Not Bound,NRPS-ladderane
6260,NA,Not Bound,NRPS-ladderane
6261,NA,Not Bound,NRPS-ladderane
6262,NA,Not Bound,NRPS-ladderane
6263,NA,Not Bound,NRPS-ladderane
6264,NA,Not Bound,NRPS-ladderane
6265,9.09011242,Not Bound,NRPS-ladderane
6266,NA,Not Bound,NRPS-ladderane
6267,7.607330314,Not Bound,NRPS-ladderane
6268,7.985841937,Not Bound,NRPS-ladderane
6440,2.321928095,Not Bound,Terpene2
6441,2.178337241,Not Bound,Terpene2
6456,2.361768359,Not Bound,Terpene2
6458,5.26052755,Bound,Terpene2
6469,2.011587974,Not Bound,Terpene2
6480,2.099535674,Not Bound,Terpene2
6534,-2.64385619,Not Bound,Bacteriocin2
6587,5.087462841,Not Bound,NA
6658,2.096861539,Not Bound,NA
6670,2,Not Bound,NA
6778,2,Not Bound,T2PKS
6783,2.70571466,Not Bound,T2PKS
6836,2.498250868,Not Bound,Melanin2
6837,2.410283969,Not Bound,Melanin2
6838,4.754887502,Not Bound,Melanin2
6839,4.857980995,Not Bound,Melanin2
6892,2.584962501,Not Bound,NA
6981,2.178337241,Not Bound,NA
6982,2.321928095,Not Bound,NA
7002,-2.392317423,Not Bound,NA
7007,-3.608809243,Not Bound,NA
7085,-2.882643049,Not Bound,NA
7110,-3.115885162,Bound,Terpene3
7112,-3.277250908,Not Bound,Terpene3
7206,-2.807354922,Not Bound,NA
7207,-2.74723393,Not Bound,NA
7208,-3.459431619,Not Bound,NA
7209,-2.736965594,Not Bound,NA
7210,-2.36923381,Not Bound,NA
7259,3.129283017,Not Bound,T3PKS2
7260,2.655351829,Not Bound,NA
7277,3.614709844,Not Bound,NA
7279,-2.450661409,Not Bound,NA
7324,7.700439718,Bound,NA
7325,3.244418728,Bound,NA
7337,2.401762269,Not Bound,NA
